cluster,ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,agreement_q,absNES
1,WP2446,Retinoblastoma gene in cancer,Up,3.963782009137086e-8,4.422920167102434e-9,2.504922776138628,WP,87,3.963782009137086e-8,2.504922776138628
2,WP466,DNA replication,Up,8.246567055000417e-7,4.662920523650056e-6,2.370159646665855,WP,41,4.662920523650056e-6,2.370159646665855
3,GO:0007094,NA,Up,8.7828164670200815e-05,9.54513270550341e-7,2.3967262496671555,GO,16,8.7828164670200815e-05,2.3967262496671555
4,WP4016,DNA IR damage and cellular response via ATR,Up,0.00121800403368602,4.4934563629917825e-4,2.051814017505402,WP,81,0.00121800403368602,2.051814017505402
5,WP5117,Cohesin complex Cornelia de Lange syndrome,Up,0.00215935233434482,0.02256512242466734,1.921127190170556,WP,33,0.02256512242466734,1.921127190170556
6,WP2361,Gastric cancer network 1,Up,0.02580198929128724,5.552364198599235e-4,2.1761418351539046,WP,27,0.02580198929128724,2.1761418351539046
7,WP5193,Cholesterol synthesis disorders,Up,0.03187592614324746,0.03415144957080813,1.8741059558114712,WP,17,0.03415144957080813,1.8741059558114712
8,GO:0090307,NA,Up,8.7828164670200815e-05,0.00316626365241669,2.1580496651165477,GO,25,0.00316626365241669,2.1580496651165477
9,GO:0007059,NA,Up,7.87331087192153e-4,5.470621565002444e-7,2.466023075415497,GO,51,7.87331087192153e-4,2.466023075415497
10,GO:0000086,NA,Up,0.0012727298210469,1.012659204700474e-5,2.3962669478666756,GO,32,0.0012727298210469,2.3962669478666756
11,GO:0032467,NA,Up,0.0013304539060497,0.00316626365241669,2.0965453848538016,GO,22,0.00316626365241669,2.0965453848538016
12,GO:0000070,NA,Up,0.00894394176011756,0.03849968948901128,1.996517543855293,GO,13,0.03849968948901128,1.996517543855293
13,GO:0000278,NA,Up,0.01538549100121085,1.0275304942735942e-6,2.348355984980851,GO,80,0.01538549100121085,2.348355984980851
14,GO:0000076,NA,Up,0.01874057682617891,0.03730717849259761,1.9131308679287864,GO,10,0.03730717849259761,1.9131308679287864
15,GO:0007052,NA,Up,0.02250393461519262,7.872949632806868e-6,2.418461826433374,GO,33,0.02250393461519262,2.418461826433374
